file_path,track_name,warmth,spatiality,distance,density,groundedness,timbral_warmth,timbral_brightness,timbral_depth,timbral_reverberance,rt60_estimate,stereo_correlation,stereo_width,dynamic_range_db,danceability,beat_strength,low_freq_ratio,rhythm_regularity,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,pulse_clarity,tempo_confidence,key,key_name,mode,key_confidence,energy,onset_rate,spectral_flux_mean,rms_mean,cluster,name,artist,album,album_art,track_id,spotify_uri
audio/Theo Parrish - First Floor.mp3,Theo Parrish - First Floor,5.896580991218016,1.0,4.882457134049275,6.977797114263103,6.985713482152789,49.76299316689977,57.75527187944636,65.93446514694294,0.0,2.614077858972532,0.996104157985132,0.0019875193059251,39.18916244506836,,8.064376831054688,0.9215425624740708,0.976558914414516,1652.4227751071085,3393.8113990863144,1997.7349596227584,0.0159759633243083,0.137569323182106,0.6519418023233932,8,G#,0,0.0124229334597877,0.8885544911063769,4.4866064987065695,63.27613067626953,0.1429167985916137,1,First Floor Metaphor,Theo Parrish,First Floor,https://i.scdn.co/image/ab67616d0000b273ce3bc66e9a01911468bf60c1,1DB1CNxYAGfv2HbzJoitek,spotify:track:1DB1CNxYAGfv2HbzJoitek
audio/Ichiko Aoba - COLORATURA.mp3,Ichiko Aoba - COLORATURA,7.036541096517119,4.298240029956315,5.654803893064033,5.074395000025453,4.17625736575129,49.24505244343742,53.72134695745579,62.092091254170434,1.0,7.660621364265036,0.7417409978399903,0.1291997481665278,23.841037940978985,,1.8479293584823608,0.4832822426357026,0.9471647249780766,1234.3276122326483,2356.7244008953653,1804.3794729904616,0.0121512170881032,0.1351521760225296,0.6058988764044887,2,D,1,0.102289794669959,0.4646439320047215,2.3389141249637433,19.674577713012695,0.0864370837807655,0,COLORATURA,Ichiko Aoba,Luminescent Creatures,https://i.scdn.co/image/ab67616d0000b2735c7c8c2db49278e396b9e084,3jIGteplWR9tMpqsH06J83,spotify:track:3jIGteplWR9tMpqsH06J83
audio/Jeff Buckley - If You Knew - Live at Sin-é New York NY - JulyAugu.mp3,Jeff Buckley - If You Knew - Live at Sin-é New York NY - JulyAugu,6.762925188389707,2.135060195823716,4.417824946278727,3.808072348783656,2.9789202854006667,48.01050585080022,56.57934124138734,57.45291842930678,1.0,8.047128187295973,0.9073004261781769,0.0463525966180893,16.268788623809815,,1.8078123331069944,0.5064118750277792,0.9444794790065348,1226.7979737829728,2426.8081923662608,1734.8257930907496,0.0036529733333736,0.133478432893753,0.1450190245589749,3,D#,1,0.0506438679146546,0.2670789087737614,1.728162089685653,10.340523719787598,0.0485495142638683,0,"If You Knew - Live at Sin-é, New York, NY - July/August 1993",Jeff Buckley,Live At Sin-é (Legacy Edition),https://i.scdn.co/image/ab67616d0000b2737763c5c3004079c1bf46189e,1nd2JEHXbUuQFDiQzCBpsv,spotify:track:1nd2JEHXbUuQFDiQzCBpsv
audio/King Crimson - Fallen Angel.mp3,King Crimson - Fallen Angel,3.557172174055414,3.9194104832906618,3.6858249236239855,5.413298054042411,3.5934523747306,44.610803379695405,63.18558361666981,53.124906940586385,1.0,8.327102113569252,0.770708965665839,0.1146717353607745,21.65905394554138,,3.234297513961792,0.4779871787485734,0.9511033630497544,2077.3144023080013,4417.63299732257,2268.8074769805453,0.0119951954111456,0.1101925149559974,0.4639386189258282,11,B,0,0.0832428329169079,0.8626485465712039,2.505941862848155,56.00625228881836,0.180811271071434,1,Fallen Angel,King Crimson,Red (Expanded & Remastered Original Album Mix),https://i.scdn.co/image/ab67616d0000b2733167627d9428094376a26a08,3t7PAjvfPwhvfQdTO7VdII,spotify:track:3t7PAjvfPwhvfQdTO7VdII
audio/Kamasi Washington - Final Thought.mp3,Kamasi Washington - Final Thought,3.603931099909504,3.0320485990181973,2.976096969885595,6.096565910098928,5.21749227954203,44.45327529836878,64.13052548502945,56.97377257397352,1.0,5.998094767393505,0.8414537548040248,0.0828018231658173,14.524230575561525,,3.378704309463501,0.640120512966512,0.9323626370299084,2053.8605820836706,4335.706556830347,2234.8014970982977,0.0173459369689226,0.1240511313080787,0.7718248088662315,0,C,0,0.1891406426800078,0.900769283497506,4.50522749122674,56.14533996582031,0.1464415788650512,1,Final Thought,Kamasi Washington,The Epic,https://i.scdn.co/image/ab67616d0000b273b89caebf56746ac0bae93ba9,21q13WGjUTmzvroPyUJQdC,spotify:track:21q13WGjUTmzvroPyUJQdC
audio/Stars of the Lid - Requiem for Dying Mothers Part 2.mp3,Stars of the Lid - Requiem for Dying Mothers Part 2,7.365917577605337,2.388858936298404,6.5773126116669065,4.3610522213545,3.008375768023642,46.30513191902767,46.20449842293961,72.26234514800004,1.0,6.9799613523,0.8888102017874717,0.0567709405805196,39.16288604736327,,0.7918979525566101,0.9606373731426656,0.960153049427984,859.3860425508735,1844.792210634333,1190.14861725452,0.0029209733474999,0.0568737722933292,0.4299573344169015,10,A#,1,0.0358712019094367,0.5211807026011117,0.5840576328530596,19.96228790283203,0.1160416603088378,0,"Requiem for Dying Mothers, Pt. 2",Stars Of The Lid,The Tired Sounds of Stars of the Lid,https://i.scdn.co/image/ab67616d0000b27365ff58390f0b7c44ec4d7aa5,7m2iqOIBuCT0XvMkv4wYNv,spotify:track:7m2iqOIBuCT0XvMkv4wYNv
audio/AnchorsongBookend - The Ocean.mp3,AnchorsongBookend - The Ocean,5.880738255699263,1.70941598273954,3.362794968523949,7.458179461228148,9.3507511363772,49.32240657473806,60.94395438031245,67.25949160816025,1.0,4.07673284882828,0.9399081038189864,0.0300740372531328,16.75235414505005,,10.055532455444336,0.9389633039584154,0.9680446306803004,1571.9010383728132,3590.5426331997237,2285.447269010316,0.004450038075447,0.1983159333467483,0.9020189455554406,6,F#,1,0.2350063593304351,0.9162132218541637,4.648528874166542,77.7710189819336,0.2733573317527771,1,The Ocean,"Anchorsong, Bookend",Mirage,https://i.scdn.co/image/ab67616d0000b273987cdaceb66d7d070f875ecc,11ZEPoLOymnDqXoc1e98FO,spotify:track:11ZEPoLOymnDqXoc1e98FO
audio/My Bloody Valentine - Loveless.mp3,My Bloody Valentine - Loveless,1.36103797628596,4.863384398770366,3.074086254449291,5.808336307214157,6.5270668781039785,39.14358733071231,68.7141803621446,54.22995204698213,1.0,12.9385245975621,0.6986527508637855,0.1509675314449271,12.409031295776362,,2.0287115573883057,0.3762430884128872,0.9800601111821384,2558.544210622863,4713.791055503024,2239.8680612136213,0.0263581816107034,0.2021898478269577,0.9461050308102552,11,B,1,0.0172311393076839,0.628214833403506,0.5585065247566745,41.1365852355957,0.1102297976613044,1,Loveless,My Bloody Valentine,Loveless,http://coverartarchive.org/release/cd32c6cf-f979-39e7-a4ec-157d3a560d06/25797196285-500.jpg,,
audio/This Mortal Coil - Kangaroo.mp3,This Mortal Coil - Kangaroo,8.240336627911562,4.978290338471673,5.010274006374874,4.424292078496689,2.3652174884031765,54.32313739489151,54.59351374138522,63.25771922349935,1.0,9.827972646554391,0.690752165031213,0.1560361485830724,11.166053771972656,,2.0729994773864746,0.549707794269384,0.947552141911595,1176.242777987207,2301.9046446075895,1582.1509301420986,0.0039484002627432,0.0980112254619598,0.1762172904935389,7,G,1,0.0374999881172537,0.3394001286348998,1.2030915288976822,15.683263778686523,0.0645669773221015,0,Kangaroo - Remastered,This Mortal Coil,It'll End In Tears (Remastered),https://i.scdn.co/image/ab67616d0000b273201a9af6d3296d20a205adb5,2HsOICaAi5bwnqyG7uO1Fo,spotify:track:2HsOICaAi5bwnqyG7uO1Fo
audio/Yoshio Ojima - Glass Chattering.mp3,Yoshio Ojima - Glass Chattering,6.732004605005335,2.010808250712625,5.1308827848405425,3.877392366011144,2.864168136783679,47.10431682300549,53.37347458708046,60.56206892957034,1.0,5.058694451205759,0.9172309686831112,0.0419084083703068,23.06685543060302,,1.4074441194534302,0.1504308479430166,0.940647746680738,1215.5618332967397,2093.999792755225,1481.6802299778203,0.004041040316224,0.1394248306751251,0.3795524640724432,8,G#,1,0.0806272703483157,0.3670413290851837,3.366025604381266,14.682087898254396,0.0584394484758377,0,Glass Chattering,Yoshio Ojima,Une Collection Des Chainons I,https://i.scdn.co/image/ab67616d0000b27313a5a858cabe0080969958f4,7kBKbrdOdyERP870kTYwIr,spotify:track:7kBKbrdOdyERP870kTYwIr
audio/Akusmi - Yurikamome.mp3,Akusmi - Yurikamome,7.144247269818976,6.800270012224027,6.170127182954637,3.904083179895179,3.19777561268917,48.628174159352355,56.823660424615056,54.49485009844831,1.0,5.079140730006728,0.5502284759946037,0.2250101561273762,18.110461902618407,,3.343384265899658,0.4986952873165625,0.9338826729116474,1156.1998639943326,2153.2801167977236,1460.7074204011533,0.0040462687611579,0.0943575128912925,0.4241107792560384,0,C,0,0.1501257996555768,0.9520188839644872,6.080755358579482,56.79536056518555,0.1739270538091659,0,Yurikamome,Akusmi,Fleeting Future,https://i.scdn.co/image/ab67616d0000b2735bbcd23b0d783b2c0288bf46,0OfmvSdGOtAv7LExwfJBUc,spotify:track:0OfmvSdGOtAv7LExwfJBUc
audio/Roly Poly Rag Bear - Sentimental Bus.mp3,Roly Poly Rag Bear - Sentimental Bus,7.065448989537736,3.231010137758985,5.4063237252460095,6.167991703354966,6.0743901362263735,52.37914059764188,53.36544335523092,63.33610587000286,1.0,8.107353353093751,0.8239130056524404,0.0886932952658456,32.01222920417785,,3.648897647857666,0.5926390121392571,0.9645836619903392,1427.7659895969225,2962.3140828177434,2183.9286916781466,0.0071292491629719,0.1881227493286132,0.5958389261744886,8,G#,0,0.1057559968514357,0.8167236878973908,2.214247808864385,43.561248779296875,0.1857992112636566,1,Sentimental Bus,Roly Poly Rag Bear,"Straw, Water, Pinstripe",https://i.scdn.co/image/ab67616d0000b273e0e38702da6131c326f1510a,75JAoS9ebFxy5Gz3ZnBh7U,spotify:track:75JAoS9ebFxy5Gz3ZnBh7U
audio/DAngelo - Playa Playa.mp3,DAngelo - Playa Playa,4.824264488123795,4.086576874856943,5.073327730398101,6.075263835169346,7.268870872813448,44.65352876579408,61.721006779366114,61.427868353097274,1.0,2.0741815867466413,0.7579102300057868,0.1210705519163203,29.087123489379877,,9.692131042480469,0.7306375629803142,0.9651726651573548,1644.1559406474223,3429.575571219991,2014.5704985300824,0.0090040490031242,0.1647477746009826,0.5469532100108785,6,F#,1,0.0517136983525211,0.8238582158003394,2.1745243228043867,61.48384094238281,0.1408485323190689,1,Playa Playa,D'Angelo,Voodoo,https://i.scdn.co/image/ab67616d0000b2732b3dc336a7a69293c25d9ade,6j0FBH06L1YlVkxBvE972P,spotify:track:6j0FBH06L1YlVkxBvE972P
